policy,mean_profit,p10_profit,p90_profit
零检=00011000; 半检=000; 半拆=010; 成检=否; 成拆=是,102.90617442171971,102.17953193962985,103.80719153117421
零检=00011000; 半检=000; 半拆=011; 成检=否; 成拆=是,103.05384244384223,102.15964823621097,103.92520376800437
零检=00011000; 半检=000; 半拆=110; 成检=否; 成拆=是,102.9666440242711,102.07806401960865,103.75402461469233
零检=10010000; 半检=000; 半拆=000; 成检=否; 成拆=是,102.93136385243237,102.03430645730437,103.99932844505922
零检=11000000; 半检=000; 半拆=110; 成检=否; 成拆=是,102.78938208189692,102.00430102760035,103.62890169809987
零检=11000000; 半检=000; 半拆=001; 成检=否; 成拆=是,102.64014589068296,101.98428656887953,103.34444957069226
零检=00011000; 半检=000; 半拆=001; 成检=否; 成拆=是,102.82804985125136,101.98305387430582,103.72649111436796
零检=11000000; 半检=000; 半拆=111; 成检=否; 成拆=是,102.83556875415232,101.96486128946088,103.87523564329236
零检=11000000; 半检=000; 半拆=000; 成检=否; 成拆=是,102.97540266969936,101.89770543731558,103.8390960079228
零检=10010000; 半检=000; 半拆=100; 成检=否; 成拆=是,102.73925177551271,101.88014369163082,103.54553697962231
